ISIN Code,Lowest Accepted Yield,Average Yield,Highest Accepted Yield,Average Rate of Discount (%),Average Price per £100 Nominal (£),Tail (In Yield Terms),Amount Tendered For (£),Amount On Offer (£),Bid to Cover Ratio,Amount Allocated (£),Maturity (Months),Maturity Date,Highest Yield % Filled,Date
GB00B6H08B12,0.445,0.460643,0.469,0.460115,99.88528650189801,0.008357,2709150000,1000000000,2.71,999992500.0,3,2012-01-23,59.91,2011-10-21
GB00B6H26911,0.46,0.493286,0.498,0.492076,99.754636248757,0.004714,3304950000,1500000000,2.2,1499990000.0,6,2012-04-23,15.94,2011-10-21
GB00B6H2C600,0.47,0.492671,0.501,0.491464,99.754941404218,0.008329000000000001,2693200000,1500000000,1.8,1499999500.0,6,2012-04-30,85.09,2011-10-28
GB00B6H0DK57,0.42,0.4588100000000001,0.47,0.458286,99.885742450632,0.01119,2049600000,1000000000,2.05,999997345.0,3,2012-01-30,40.93,2011-10-28
GB00B6GZ0W23,0.4,0.4155660000000001,0.43,0.415434,99.968131123874,0.014434,1036500000,500000000,2.07,499998690.0,1,2011-11-28,54.29,2011-10-28
GB00B6GZ5P01,0.4,0.413125,0.419,0.41299399999999997,99.96831825968701,0.005875,1492300000,500000000,2.98,499995000.0,1,2011-12-05,78.2,2011-11-04
GB00B6H0JY14,0.44,0.456353,0.469,0.455834,99.886353622486,0.012647,2520850000,1000000000,2.52,999993000.0,3,2012-02-06,75.94,2011-11-04
GB00B6H2HM18,0.469,0.491526,0.508,0.490318,99.75416949237801,0.016474000000000003,3105400000,1500000000,2.07,1499999000.0,6,2012-05-08,6.57,2011-11-04
GB00B6GZ9B45,0.39799999999999996,0.404817,0.41200000000000003,0.40469099999999997,99.96895518600401,0.007183,2086750000,500000000,4.17,499998000.0,1,2011-12-12,19.06,2011-11-11
GB00B6H0NT49,0.426,0.451315,0.465,0.450808,99.887606834238,0.013685,3769650000,1000000000,3.77,999984200.0,3,2012-02-13,70.26,2011-11-11
GB00B6H2NT05,0.46,0.49682200000000004,0.506,0.495594,99.75288176512899,0.009178,4029100000,1500000000,2.69,1499987500.0,6,2012-05-14,55.95,2011-11-11
GB00B6GXGG27,0.389,0.428236,0.47,0.428095,99.967159807504,0.041764,2131650000,1000000000,2.13,999990000.0,1,2011-12-19,84.17,2011-11-18
GB00B6GYV268,0.42,0.43892600000000004,0.449,0.438446,99.890688754489,0.010074,3743550000,1000000000,3.74,999990000.0,3,2012-02-20,18.56,2011-11-18
GB00B6H0VS99,0.46,0.485103,0.493,0.483932,99.758696705898,0.007897,4628550000,1500000000,3.09,1499985000.0,6,2012-05-21,28.86,2011-11-18
GB00B6GZMC62,0.379,0.422001,0.445,0.421855,99.965327012632,0.022999000000000002,3407000000,1000000000,3.41,999984000.0,1,2011-12-28,78.64,2011-11-25
GB00B6H10Y11,0.395,0.410297,0.42,0.409878,99.89781130745199,0.009703,4273800000,1000000000,4.27,999978000.0,3,2012-02-27,65.59,2011-11-25
GB00B6H31226,0.44,0.466225,0.479,0.465144,99.76806535175699,0.012775000000000002,3875000000,1500000000,2.58,1500000000.0,6,2012-05-28,37.5,2011-11-25
GB00B6GZSH38,0.37,0.392022,0.4,0.3919,99.96886274488199,0.007977999999999999,4375500000,1000000000,4.38,999970900.0,1,2012-01-03,40.03,2011-12-02
GB00B6H15H90,0.38,0.396801,0.405,0.396409,99.901169303202,0.008199,4781550000,1000000000,4.78,999982660.0,3,2012-03-05,28.18,2011-12-02
GB00B6H35086,0.43,0.450462,0.46,0.449441,99.773432281293,0.009538,5170250000,1500000000,3.45,1499984500.0,6,2012-06-06,3.82,2011-12-02
GB00B6GZWF91,0.28,0.31673100000000004,0.33,0.316654,99.97570872949,0.013269,4960500000,1000000000,4.96,1000000000.0,1,2012-01-09,77.52,2011-12-09
GB00B6H18C50,0.32,0.333639,0.35,0.333362,99.916887903528,0.016361,5306150000,1000000000,5.31,999994750.0,3,2012-03-12,54.51,2011-12-09
GB00B6H39625,0.385,0.42627299999999996,0.435,0.4253690000000001,99.78789826329701,0.008727,5847800000,1500000000,3.9,1499980000.0,6,2012-06-11,52.08,2011-12-09
GB00B6GY3S60,0.209,0.231033,0.26,0.230992,99.98228006106702,0.028967000000000007,2421050000,500000000,4.84,499996800.0,1,2012-01-16,35.76,2011-12-16
GB00B6GZMW68,0.24,0.264073,0.27899999999999997,0.263899,99.934205939003,0.014927000000000001,4334750000,1000000000,4.33,999996800.0,3,2012-03-19,57.84,2011-12-16
